nome,partido,uf,ano,pla ,par ,vnp ,dp ,pp ,aup ,aNj ,pcom ,ajcom ,aNjcom 
ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2019,0,0,0,0,0,0,0,0,0,0
ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2020,0,0,0,0,0,0,0,0,0,0
ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2021,0,0,0,0,0,0,0,0,0,0
ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,REPUBLICANOS,AC,2022,0,0,4,0,1,0,0,0,0,0
CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2019,257,3,324,22,110,0,3,226,1,43
CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2020,49,0,394,2,99,3,0,215,6,57
CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2021,104,11,762,7,131,1,0,210,6,55
CYLMARA FERNANDES DA ROCHA GRIPP,MDB,AC,2022,7,0,340,4,64,10,1,28,6,13
FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2019,23,1,261,2,87,19,7,39,11,25
FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2020,4,0,394,2,100,2,0,16,0,23
FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2021,10,0,757,2,130,2,0,16,0,23
FLAVIANO FLÁVIO BAPTISTA DE MELO,MDB,AC,2022,4,0,340,0,66,9,0,2,0,0
JESSICA ROJAS SALES,MDB,AC,2019,105,0,274,0,86,19,8,67,19,31
JESSICA ROJAS SALES,MDB,AC,2020,20,0,394,0,101,1,0,82,24,14
JESSICA ROJAS SALES,MDB,AC,2021,18,0,627,0,102,27,3,82,24,10
JESSICA ROJAS SALES,MDB,AC,2022,3,0,164,0,33,42,0,0,16,0
JESUS SERGIO DE MENEZES,PDT,AC,2019,587,3,289,8,107,5,1,160,5,56
JESUS SERGIO DE MENEZES,PDT,AC,2020,166,0,384,0,93,8,1,135,14,36
JESUS SERGIO DE MENEZES,PDT,AC,2021,129,11,735,2,121,6,5,134,14,36
JESUS SERGIO DE MENEZES,PDT,AC,2022,48,7,322,1,64,9,2,35,10,11
LEONARDO CUNHA DE BRITO,PT,AC,2019,1,0,0,0,0,0,0,104,0,42
LEONARDO CUNHA DE BRITO,PT,AC,2020,32,0,153,36,14,0,0,236,11,117
LEONARDO CUNHA DE BRITO,PT,AC,2021,399,15,756,128,129,3,0,236,11,118
LEONARDO CUNHA DE BRITO,PT,AC,2022,102,0,330,120,69,4,2,31,5,9
MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2019,490,6,323,152,109,2,2,290,13,37
MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2020,651,0,394,345,101,1,0,207,15,56
MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2021,439,24,729,251,127,5,0,205,15,55
MARIA PERPÉTUA DE ALMEIDA,PCdoB,AC,2022,122,8,347,123,69,4,2,52,8,24
VANDA DENIR MILANI NOGUEIRA,PROS,AC,2019,253,3,281,13,100,11,2,228,22,78
VANDA DENIR MILANI NOGUEIRA,PROS,AC,2020,8,0,394,1,98,4,0,139,19,74
VANDA DENIR MILANI NOGUEIRA,PROS,AC,2021,23,1,738,2,124,7,1,136,19,72
VANDA DENIR MILANI NOGUEIRA,PROS,AC,2022,3,0,299,0,59,13,3,24,11,14
ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2019,107,0,258,60,76,37,0,1,0,0
ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2020,373,0,247,28,70,32,0,0,0,0
ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2021,10,0,676,18,116,16,0,0,0,0
ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2022,0,0,312,15,57,18,0,0,0,0
ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2019,109,11,315,15,101,12,0,164,19,49
ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2020,35,3,382,25,91,11,0,40,9,61
ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2021,187,1,741,111,116,16,0,36,8,59
ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2022,78,1,287,23,47,28,0,2,0,0
MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2019,192,1,291,20,91,17,5,175,41,65
MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2020,22,0,386,9,96,3,3,206,4,113
MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2021,30,2,757,20,131,0,1,204,4,113
MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2022,26,4,341,23,72,6,2,27,4,19
NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2019,333,3,307,0,106,0,7,53,2,82
NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2020,25,0,381,0,96,2,4,37,19,105
NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2021,218,1,726,1,118,14,0,37,19,105
NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2022,124,0,274,0,54,10,11,1,5,13
PAULO FERNANDO DOS SANTOS,PT,AL,2019,256,1,310,43,109,4,0,57,4,15
PAULO FERNANDO DOS SANTOS,PT,AL,2020,243,1,394,151,98,4,0,49,8,30
PAULO FERNANDO DOS SANTOS,PT,AL,2021,208,1,762,139,131,0,1,49,8,30
PAULO FERNANDO DOS SANTOS,PT,AL,2022,54,2,307,32,56,19,0,6,8,3
PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2019,0,0,0,0,0,0,0,88,0,5
PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2020,0,0,0,0,0,0,0,216,8,32
PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2021,99,28,762,21,132,0,0,216,8,34
PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2022,20,1,341,26,68,5,2,43,5,13
SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2019,194,13,286,2,103,2,8,211,2,22
SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2020,3,0,393,1,98,4,0,157,19,8
SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2021,20,0,727,0,125,3,4,156,19,8
SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2022,8,0,194,0,35,40,0,1,19,0
SEVERINO DE LIRA PESSÔA,MDB,AL,2019,108,0,294,1,89,8,16,48,6,44
SEVERINO DE LIRA PESSÔA,MDB,AL,2020,2,0,387,0,96,1,5,50,2,33
SEVERINO DE LIRA PESSÔA,MDB,AL,2021,22,0,756,0,129,0,3,51,2,34
SEVERINO DE LIRA PESSÔA,MDB,AL,2022,5,0,339,0,63,5,7,11,2,12
TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2019,361,16,193,14,69,43,1,298,76,20
TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2020,140,3,374,13,86,16,0,387,70,63
TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2021,302,18,699,21,119,11,2,389,69,66
TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2022,92,4,292,12,62,13,0,83,49,25
ALBERTO BARROS CAVALCANTE NETO,PL,AM,2019,463,12,267,105,96,17,0,253,36,3
ALBERTO BARROS CAVALCANTE NETO,PL,AM,2020,414,0,392,47,100,1,1,298,9,10
ALBERTO BARROS CAVALCANTE NETO,PL,AM,2021,374,14,751,83,130,2,0,292,9,9
ALBERTO BARROS CAVALCANTE NETO,PL,AM,2022,231,6,351,108,71,2,2,51,1,2
ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2019,160,8,274,21,93,17,3,113,14,108
ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2020,9,0,373,3,90,11,1,61,4,162
ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2021,39,3,744,2,124,4,4,61,4,163
ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2022,7,1,303,0,58,0,17,8,0,48
JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2019,280,6,299,0,93,3,17,86,2,13
JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2020,6,0,384,0,95,3,4,65,1,23
JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2021,37,3,758,3,128,0,4,65,1,23
JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2022,4,0,288,0,54,3,18,13,1,9
JOSÉ RICARDO WENDLING,PT,AM,2019,603,4,316,157,111,2,0,273,0,0
JOSÉ RICARDO WENDLING,PT,AM,2020,419,0,394,14,100,1,1,213,1,1
JOSÉ RICARDO WENDLING,PT,AM,2021,493,22,762,117,132,0,0,214,1,2
JOSÉ RICARDO WENDLING,PT,AM,2022,148,1,341,38,70,4,1,42,1,2
MARCELO RAMOS RODRIGUES,PSD,AM,2019,285,8,312,100,110,3,0,213,21,101
MARCELO RAMOS RODRIGUES,PSD,AM,2020,141,4,394,128,102,0,0,11,0,39
MARCELO RAMOS RODRIGUES,PSD,AM,2021,1476,1384,751,113,126,6,0,3,0,39
MARCELO RAMOS RODRIGUES,PSD,AM,2022,367,318,324,60,65,8,2,2,0,7
PABLO OLIVA SOUZA,UNIÃO,AM,2019,125,17,305,37,99,14,0,441,29,13
PABLO OLIVA SOUZA,UNIÃO,AM,2020,34,0,394,20,100,2,0,418,5,53
PABLO OLIVA SOUZA,UNIÃO,AM,2021,129,28,760,18,128,1,3,415,5,53
PABLO OLIVA SOUZA,UNIÃO,AM,2022,68,9,328,10,61,0,14,74,0,24
SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2019,173,3,324,41,113,0,0,292,6,79
SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2020,15,0,388,11,102,0,0,292,0,35
SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2021,76,15,762,50,132,0,0,291,0,33
SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2022,38,4,330,25,67,0,8,49,0,7
SILAS CÂMARA,REPUBLICANOS,AM,2019,306,14,275,27,92,11,10,76,10,91
SILAS CÂMARA,REPUBLICANOS,AM,2020,16,0,394,3,93,7,2,88,14,76
SILAS CÂMARA,REPUBLICANOS,AM,2021,98,2,732,19,124,5,3,88,14,77
SILAS CÂMARA,REPUBLICANOS,AM,2022,9,1,243,5,53,11,11,14,11,20
 ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2019,107,0,279,8,101,4,8,43,3,35
 ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2020,62,3,391,43,89,13,0,46,13,61
 ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2021,65,1,758,17,129,3,0,46,13,61
 ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2022,12,1,304,6,53,22,0,6,10,10
ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2019,60,5,209,17,72,22,19,99,29,89
ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2020,60,1,394,13,97,4,1,106,37,133
ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2021,158,26,714,20,118,10,4,107,37,134
ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2022,46,4,299,8,63,11,1,11,7,23
ANDRE DOS SANTOS ABDON,PP,AP,2019,316,0,289,1,105,4,4,11,2,55
ANDRE DOS SANTOS ABDON,PP,AP,2020,5,0,393,0,99,2,1,8,0,93
ANDRE DOS SANTOS ABDON,PP,AP,2021,37,0,762,0,130,0,2,8,0,94
ANDRE DOS SANTOS ABDON,PP,AP,2022,11,0,354,0,73,0,2,5,0,32
CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2019,328,8,295,132,103,9,1,260,23,60
CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2020,212,0,394,78,98,4,0,264,5,35
CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2021,163,4,762,127,132,0,0,264,5,36
CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2022,48,1,335,41,72,3,0,54,5,19
LEDA MARIA SADALA BRITO,PP,AP,2019,109,2,237,1,83,23,7,136,14,16
LEDA MARIA SADALA BRITO,PP,AP,2020,27,0,394,21,94,6,2,120,8,21
LEDA MARIA SADALA BRITO,PP,AP,2021,90,5,698,6,119,9,4,111,7,21
LEDA MARIA SADALA BRITO,PP,AP,2022,35,0,279,0,56,11,8,24,6,9
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2019,126,3,276,4,103,4,6,100,2,112
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2020,4,0,370,3,93,3,6,54,8,57
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2021,15,0,376,4,67,0,1,54,7,53
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2022,4,1,181,4,38,6,7,18,7,20
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2019,279,6,305,5,107,6,0,168,2,3
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2020,84,0,394,14,99,2,1,146,1,4
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2021,115,8,752,7,131,1,0,146,1,6
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2022,41,2,356,1,74,0,1,27,0,3
VINICIUS DE AZEVEDO GURGEL,PL,AP,2019,51,0,106,2,56,30,22,12,13,54
VINICIUS DE AZEVEDO GURGEL,PL,AP,2020,5,1,243,0,42,5,1,10,4,44
VINICIUS DE AZEVEDO GURGEL,PL,AP,2021,12,1,702,0,117,0,4,10,4,44
VINICIUS DE AZEVEDO GURGEL,PL,AP,2022,1,0,114,0,25,13,1,0,0,0
ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2019,114,1,272,9,104,5,4,152,6,50
ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2020,4,1,384,1,94,5,3,67,2,48
ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2021,25,18,745,2,125,0,7,66,0,46
ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2022,140,0,321,5,61,14,0,3,0,2
AFONSO BANDEIRA FLORENCE,PT,BA,2019,341,3,310,104,109,1,3,47,11,63
AFONSO BANDEIRA FLORENCE,PT,BA,2020,236,0,384,157,99,1,2,35,9,34
AFONSO BANDEIRA FLORENCE,PT,BA,2021,202,0,670,202,115,16,1,35,9,34
AFONSO BANDEIRA FLORENCE,PT,BA,2022,53,3,341,147,67,8,0,7,1,15
ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2019,301,8,320,7,105,6,2,53,1,45
ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2020,8,0,381,1,96,4,2,28,8,59
